name,name:en,addr:street,amenity,opening_hours
Ирски паб Св. Патрик,St. Patrick Irish Pub,Кеј 13 Ноември,pub,10:00-24:00  Fr-Sa 10:00-01:00
Пелистер,Pelister,Плоштад Македонија,restaurant,Mo-Th 07:00-00:00; Fr-Sa 07:00-01:00; Su 10:30-00:00
Broz Cafe,(Still there),,cafe,
Интермецо,,,restaurant,
Benneton,,,cafe,
AMG,,,cafe,
Strip,,Dimitrija Cupovski,cafe,
Журнал,,,restaurant,
нола Бар,Nola Bar,Митрополит Теодосиј Гологанов,bar,Mo-Fr 09:00-24:00; Sa Su 00:00-01:00 09:00-24:00
,,,cafe,
Под Кале,,,restaurant,
,,,bar,
Кај Џино,Gino,,restaurant,Mo 08:00-24:00  Tu We Fr Sa 09:00-24:00  Th 09:00-23:00  Su 09:00-01:00
Плаза де Торос,,Кеј 13 Ноември,restaurant,
Caffe Skopje,,Македонија,cafe,Mo-Su 08:00-23:00
Play Cafe,Play Cafe,Македонија,cafe,Mo-Su 09:00-21:00
,,,cafe,
9,,,cafe,
,,,bar,
Bistro Opera Pub,,,cafe,24/7
Бугати,Bugatti,,cafe,
London Pub,,Никола Вапцаров,pub,
иВ,iV,,restaurant,
,,,bar,
Клуб Капан Ан,,,bar,
Туpиcт,Turist,,restaurant,
Кафе Змија,,,cafe,
Кафе Филипос,,Благој Давков,cafe,
Кафе Кино Карпош,,,pub,
Чешма,,,restaurant,
,,,restaurant,
Ресторан Кум,,,restaurant,
Боеми,,,restaurant,
Hürrem,Menada,,bar,
Конак,,,pub,
Крчма,,,restaurant,
Marana,,,restaurant,
Pastel Wine & Dine,Pastel Wine & Dine,Булевар Климент Охридски,restaurant,Mo-Fr 06:30-21:00; Sa 06:30-17:00; Su 06:30-16:00
511,,,restaurant,
Пицерија Либертас,,T.C Bunjakovec prv kat lok 36,restaurant,
Ексклузив,,,restaurant,
Red Caffe,,,cafe,
Club Colloseum,,,bar,
LA MER - Coffe & Wine bar,,Орце Николов,bar,Su-Th 08:00-24:00; Fr-Sa 09:00-01:00; 
Тренд,Trend,,restaurant,
Дестан,,Владимир Полежановски,restaurant,Mo-Su 09:00-23:00
Карпе дием,Carpe Diem,Кеј 13 Ноември,pub,
Balila,,,restaurant,
Бифиња - Рамстор,Food Court Ramstore,,restaurant,
Up Cafe,,,cafe,Mo-Sa 08:00-18:00
Бруклински,Bruklinski,Орце Николов,restaurant,
Бела виста,Bella Vista,Кеј 13 Ноември,restaurant,10:00-24:00  Fr-Sa 10:00-01:00
Арабеска,Arabesque,,restaurant,
Quatro Caffe,,,cafe,
Bass Cafe,,,cafe,
Casa Cubana,,Кеј 13 Ноември,pub,10:00-24:00  Fr-Sa 10:00-01:00
Bocata,,Никола Вапцаров,cafe,Mo-Su 08:00-23:00
Coffee Factory 2,,Македонија,cafe,Mo-Sa 08:00-01:00
Сокаче,Sokache,Драган Ѓаконовски Шпато,restaurant,08:00 - 00:00
Етно-бар,Etno Bar,Кеј 13 Ноември,bar,
Игротека Смајли,,,bar,
Mon Frere,,,cafe,Mo-Su 08:00-23:00
Old Town,,,cafe,Mo-Su 10:00-22:00
