name,name:en,addr:street,amenity,opening_hours
Ирски паб Св. Патрик,St. Patrick Irish Pub,Кеј 13 Ноември,pub,10:00-24:00  Fr-Sa 10:00-01:00
Пелистер,Pelister,Плоштад Македонија,restaurant,Mo-Th 07:00-00:00; Fr-Sa 07:00-01:00; Su 10:30-00:00
Плаза де Торос,,Кеј 13 Ноември,restaurant,
Caffe Skopje,,Македонија,cafe,Mo-Su 08:00-23:00
London Pub,,Никола Вапцаров,pub,
Тренд,Trend,,restaurant,
Карпе дием,Carpe Diem,Кеј 13 Ноември,pub,
Up Cafe,,,cafe,Mo-Sa 08:00-18:00
Бела виста,Bella Vista,Кеј 13 Ноември,restaurant,10:00-24:00  Fr-Sa 10:00-01:00
Арабеска,Arabesque,,restaurant,
Casa Cubana,,Кеј 13 Ноември,pub,10:00-24:00  Fr-Sa 10:00-01:00
Bocata,,Никола Вапцаров,cafe,Mo-Su 08:00-23:00
Coffee Factory 2,,Македонија,cafe,Mo-Sa 08:00-01:00
Етно-бар,Etno Bar,Кеј 13 Ноември,bar,
Telekom Trend Lounge Bar,,Кеј 13 Ноември,cafe,Mo-Su 08:00-24:00
Destan,,11 Октомври,restaurant,08:00-23:00
Ла Тераца,,11 Октомври,restaurant,08:00-24:00  Fr-Sa 08:00-01:00
Пекинг Гарден,,Максим Горки,restaurant,Mo-Sa 11:00-24:00; Su 12:00-23:00
Соул кичен,Soul-Kitchen,Кеј 13 Ноември,restaurant,
Дион,,,restaurant,
Ало ало,,Кеј 13 Ноември,pub,
Даблинер,,Кеј 13 Ноември,pub,
Колектив,Kolektiv,,pub,
,Pivnika Temov,,pub,
